ID,MaternalID,Maternal.Mass,Treatment,Egg_Mass,Mass,SVL,Relative.Egg,Relative.Mass,Relative.SVL
2005-171,F2005,2.1,Control,0.155,NA,NA,0.073809524,NA,NA
2005-219,F2005,2.3,Control,0.113,NA,NA,0.049130435,NA,NA
2332/3-69,F2332/3,2.1,Control,0.155,NA,NA,0.073809524,NA,NA
2332/3-88,F2332/3,2.1,Control,0.149,0.118,16.6,0.070952381,0.056190476,7.904761905
2332/3-107,F2332/3,2.1,Control,0.167,0.147,18.2,0.07952381,0.07,8.666666667
2332/3-123,F2332/3,2.1,Control,0.136,NA,NA,0.064761905,NA,NA
3030-114,F3030,1.9,Autotomy,0.143,NA,NA,0.075263158,NA,NA
3030-133,F3030,1.9,Autotomy,0.143,NA,NA,0.075263158,NA,NA
3030-134,F3030,1.9,Autotomy,0.135,0.136,16.5,0.071052632,0.071578947,8.684210526
3030-188,F3030,1.9,Autotomy,0.139,0.147,18.29,0.073157895,0.077368421,9.626315789
3030-213,F3030,1.8,Autotomy,0.168,0.151,18.24,0.093333333,0.083888889,10.13333333
3030-226,F3030,1.8,Autotomy,0.139,NA,NA,0.077222222,NA,NA
3130-159,F3130,1.8,Control,n/a,NA,NA,NA,NA,NA
3130-185,F3130,1.8,Control,0.166,NA,NA,0.092222222,NA,NA
3130-193,F3130,1.8,Control,0.157,0.157,16.57,0.087222222,0.087222222,9.205555556
3130-207,F3130,2.16,Control,0.163,0.145,16.74,0.075462963,0.06712963,7.75
3130-208,F3130,2.16,Control,0.202,0.155,18.95,0.093518519,0.071759259,8.773148148
3130-218,F3130,2.16,Control,0.137,NA,NA,0.063425926,NA,NA
3130-227,F3130,2.16,Control,0.145,0.153,16.65,0.06712963,0.070833333,7.708333333
3131-78,F3131,2,Autotomy,0.202,0.174,19.7,0.101,0.087,9.85
3131-100,F3131,2,Autotomy,0.194,0.174,19.5,0.097,0.087,9.75
3131-125,F3131,2,Autotomy,0.179,NA,NA,0.0895,NA,NA
3131-139,F3131,2,Autotomy,0.197,NA,NA,0.0985,NA,NA
3131-162,F3131,1.7,Autotomy,0.162,NA,NA,0.095294118,NA,NA
3131-194,F3131,1.7,Autotomy,0.154,0.193,18.7,0.090588235,0.113529412,11
3131-210,F3131,1.8,Autotomy,0.16,0.14,20.01,0.088888889,0.077777778,11.11666667
3131-224,F3131,1.8,Autotomy,0.152,NA,NA,0.084444444,NA,NA
3453-80,F3453,1.9,Autotomy,0.139,NA,NA,0.073157895,NA,NA
3453-96,F3453,1.9,Autotomy,0.146,0.141,18.4,0.076842105,0.074210526,9.684210526
3453-150,F3453,2.5,Autotomy,0.168,NA,NA,0.0672,NA,NA
3453-178,F3453,2.5,Autotomy,0.191,0.183,18.12,0.0764,0.0732,7.248
3453-192,F3453,2.5,Autotomy,0.154,0.179,17.8,0.0616,0.0716,7.12
3453-206,F3453,1.83,Autotomy,0.156,0.207,19.26,0.085245902,0.113114754,10.52459016
4100-71,F4100,2.1,Autotomy,0.153,NA,NA,0.072857143,NA,NA
4100-86,F4100,2.1,Autotomy,0.181,NA,NA,0.086190476,NA,NA
4100-108,F4100,2.1,Autotomy,0.168,NA,NA,0.08,NA,NA
4100-137,F4100,2.1,Autotomy,0.193,NA,NA,0.091904762,NA,NA
4100-155,F4100,2.1,Autotomy,0.199,NA,NA,0.094761905,NA,NA
4100-180,F4100,2.1,Autotomy,0.212,0.203,18.19,0.100952381,0.096666667,8.661904762
5301-111,F5301,1.9,Autotomy,0.153,0.14,17.7,0.080526316,0.073684211,9.315789474
5301-151,F5301,1.6,Autotomy,0.151,NA,NA,0.094375,NA,NA
5301-170,F5301,1.6,Autotomy,0.145,NA,NA,0.090625,NA,NA
