ID,MaternalID,Maternal.Mass,Treatment,Egg_Number,Ovi_Date,Status,Status2,Day,Week ,Egg_Mass,Classification,Survival,Hatch Date,Tail,Sex (L),Sex ,Incubation,SVL,Mass,Relative.Egg,Relative.Mass,Relative.SVL
2/5131-190,F2/5131,2.3,Autotomy,190,9/24/2018,Low,Recovery,46,6,0.161,Post,1,11/2/2018,24.48,M,1,39,18.28,0.163,0.07,0.070869565,7.947826087
2/5131-203,F2/5131,2.6,Autotomy,203,10/3/2018,Low,Recovery,55,8,0.127,Post,0,NA,NA,NA,NA,NA,NA,NA,0.048846154,NA,NA
3030-114,F3030,1.9,Autotomy,114,8/22/2018,High,Investment,15,2,0.143,Post,0,NA,NA,NA,NA,NA,NA,NA,0.075263158,NA,NA
3030-133,F3030,1.9,Autotomy,133,8/29/2018,High,Investment,22,2,0.143,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.075263158,NA,NA
3030-134,F3030,1.9,Autotomy,134,8/29/2018,High,Investment,22,2,0.135,Post,1,10/11/2018,26.8,F,0,43,16.5,0.136,0.071052632,0.071578947,8.684210526
3030-188,F3030,1.9,Autotomy,188,9/21/2018,Low,Recovery,43,6,0.139,Post,1,10/31/2018,27.82,M,1,40,18.29,0.147,0.073157895,0.077368421,9.626315789
3030-213,F3030,1.8,Autotomy,213,10/3/2018,Low,Recovery,55,8,0.168,Post,1,11/11/2018,25.81,F,0,39,18.24,0.151,0.093333333,0.083888889,10.13333333
3030-226,F3030,1.8,Autotomy,226,10/10/2018,Low,Recovery,62,8,0.139,Post,0,NA,NA,NA,NA,NA,NA,NA,0.077222222,NA,NA
3131-100,F3131,2,Autotomy,100,8/20/2018,High,Investment,13,0,0.194,Pre,1,9/29/2018,32.7,M,1,40,19.5,0.174,0.097,0.087,9.75
3131-125,F3131,2,Autotomy,125,8/27/2018,High,Investment,20,2,0.179,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.0895,NA,NA
3131-139,F3131,2,Autotomy,139,8/31/2018,High,Investment,24,2,0.197,Post,0,NA,NA,NA,NA,NA,NA,NA,0.0985,NA,NA
3131-162,F3131,1.7,Autotomy,162,9/12/2018,Low,Recovery,36,4,0.162,Post,0,NA,NA,NA,NA,NA,NA,NA,0.095294118,NA,NA
3131-194,F3131,1.7,Autotomy,194,9/24/2018,Low,Recovery,46,6,0.154,Post,1,11/5/2018,32.65,M,1,42,18.7,0.193,0.090588235,0.113529412,11
3131-210,F3131,1.8,Autotomy,210,10/3/2018,Low,Recovery,55,8,0.16,Post,1,11/13/2018,32.32,F,0,41,20.01,0.14,0.088888889,0.077777778,11.11666667
3131-224,F3131,1.8,Autotomy,224,10/10/2018,Low,Recovery,62,8,0.152,Post,0,NA,NA,NA,NA,NA,NA,NA,0.084444444,NA,NA
3131-78,F3131,2,Autotomy,78,8/13/2018,,,6,0,0.202,Pre,1,9/21/2018,31.4,F,0,39,19.7,0.174,0.101,0.087,9.85
3453-96,F3453,1.9,Autotomy,96,8/20/2018,High,Investment,13,0,0.146,Pre,1,10/5/2018,28.3,F,0,46,18.4,0.141,0.076842105,0.074210526,9.684210526
3453-150,F3453,2.5,Autotomy,150,9/10/2018,Low,Recovery,34,4,0.168,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.0672,NA,NA
3453-178,F3453,2.5,Autotomy,178,9/17/2018,Low,Recovery,41,4,0.191,Post,1,10/29/2018,32.88,F,0,42,18.12,0.183,0.0764,0.0732,7.248
3453-192,F3453,2.5,Autotomy,192,9/24/2018,Low,Recovery,46,6,0.154,Post,1,11/6/2018,31.55,F,0,43,17.8,0.179,0.0616,0.0716,7.12
3453-206,F3453,1.83,Autotomy,206,10/3/2018,Low,Recovery,55,8,0.156,Post,1,11/14/2018,31.19,F,0,42,19.26,0.207,0.085245902,0.113114754,10.52459016
3453-80,F3453,1.9,Autotomy,80,8/13/2018,,,6,0,0.139,Pre,NA,NA,NA,NA,NA,NA,NA,NA,0.073157895,NA,NA
4100-86,F4100,2.1,Autotomy,86,8/15/2018,High,Investment,8,0,0.181,Pre,0,NA,NA,NA,NA,NA,NA,NA,0.086190476,NA,NA
4100-108,F4100,2.1,Autotomy,108,8/22/2018,High,Investment,15,2,0.168,Post,0,NA,NA,NA,NA,NA,NA,NA,0.08,NA,NA
4100-137,F4100,2.1,Autotomy,137,8/31/2018,High,Investment,24,2,0.193,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.091904762,NA,NA
4100-155,F4100,2.1,Autotomy,155,9/10/2018,Low,Recovery,34,4,0.199,Post,0,NA,NA,NA,NA,NA,NA,NA,0.094761905,NA,NA
4100-180,F4100,2.1,Autotomy,180,9/17/2018,Low,Recovery,41,4,0.212,Post,1,10/29/2018,34.46,M,1,42,18.19,0.203,0.100952381,0.096666667,8.661904762
4100-71,F4100,2.1,Autotomy,71,8/10/2018,,,3,0,0.153,Pre,0,NA,NA,NA,NA,NA,NA,NA,0.072857143,NA,NA
5301-111,F5301,1.9,Autotomy,111,8/22/2018,High,Investment,15,2,0.153,Post,1,10/5/2018,30.9,F,0,44,17.7,0.14,0.080526316,0.073684211,9.315789474
5301-151,F5301,1.6,Autotomy,151,9/10/2018,Low,Recovery,34,4,0.151,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.094375,NA,NA
5301-170,F5301,1.6,Autotomy,170,9/14/2018,Low,Recovery,38,4,0.145,Post,0,NA,NA,NA,NA,NA,NA,NA,0.090625,NA,NA
0005-103,F0005,2.4,Control,103,8/20/2018,Control,Investment,13,0,0.183,Pre,1,10/1/2018,31.7,M,1,42,17.9,0.153,0.07625,0.06375,7.458333333
0005-119,F0005,2.4,Control,119,8/24/2018,Control,Investment,17,2,0.179,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.074583333,NA,NA
0005-126,F0005,2.4,Control,126,8/27/2018,Control,Investment,20,2,0.144,Post,0,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA
0005-142,F0005,2.4,Control,142,9/3/2018,Control,Investment,27,2,0.198,Post,0,NA,NA,NA,NA,NA,NA,NA,0.0825,NA,NA
0005-149,F0005,2.2,Control,149,9/7/2018,Control,Recovery,31,4,0.162,Post,0,NA,NA,NA,NA,NA,NA,NA,0.073636364,NA,NA
0005-163,F0005,2.2,Control,163,9/12/2018,Control,Recovery,36,4,0.147,Post,0,NA,NA,NA,NA,NA,NA,NA,0.066818182,NA,NA
0005-187,F0005,2.2,Control,187,9/21/2018,Control,Recovery,43,6,0.153,Post,1,10/31/2018,30.47,F,0,40,16.19,0.144,0.069545455,0.065454545,7.359090909
0005-211,F0005,1.91,Control,211,10/3/2018,Control,Recovery,55,8,0.17,Post,1,11/13/2018,32.91,M,1,41,19.39,0.153,0.089005236,0.080104712,10.15183246
0005-225,F0005,1.91,Control,225,10/10/2018,Control,Recovery,62,8,0.136,Post,0,NA,NA,NA,NA,NA,NA,NA,0.071204188,NA,NA
0005-82,F0005,2.4,Control,82,8/13/2018,,,6,0,0.199,Pre,1,9/21/2018,27.8,F,0,39,17.5,0.156,0.082916667,0.065,7.291666667
0010-131,F0010,2.1,Control,131,8/29/2018,Control,Investment,22,2,0.153,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.072857143,NA,NA
0010-161,F0010,2,Control,161,9/12/2018,Control,Recovery,36,4,0.173,Post,0,NA,NA,NA,NA,NA,NA,NA,0.0865,NA,NA
0010-186,F0010,2,Control,186,9/21/2018,Control,Recovery,43,6,0.189,Post,1,10/28/2018,36.16,F,0,37,19.28,0.197,0.0945,0.0985,9.64
0010-63,F0010,2.1,Control,63,8/8/2018,,,1,0,0.179,Pre,1,9/17/2018,30.6,F,0,40,19.1,0.184,0.085238095,0.087619048,9.095238095
0050-110,F0050,1.9,Control,110,8/22/2018,Control,Investment,15,2,0.196,Post,1,10/1/2018,32,M,1,40,18,0.156,0.103157895,0.082105263,9.473684211
0050-141,F0050,1.9,Control,141,9/3/2018,Control,Investment,27,2,0.186,Post,NA,NA,NA,NA,NA,NA,NA,NA,0.097894737,NA,NA
0050-182,F0050,2,Control,182,9/17/2018,Control,Recovery,41,4,0.178,Post,1,10/28/2018,29.56,F,0,41,17.56,0.143,0.089,0.0715,8.78
0050-198,F0050,2,Control,198,9/28/2018,Control,Recovery,50,6,0.142,Post,1,11/7/2018,32.94,M,1,40,16.86,0.175,0.071,0.0875,8.43
0050-223,F0050,2,Control,223,10/10/2018,Control,Recovery,62,8,0.152,Post,1,11/24/2018,35.05,F,0,45,18.33,0.173,0.076,0.0865,9.165
0050-65,F0050,1.9,Control,65,8/10/2018,,,3,0,0.226,Pre,1,9/17/2018,30.7,M,1,38,16.3,0.144,0.118947368,0.075789474,8.578947368
0151/3-118,F0151/3,2.2,Control,118,8/24/2018,Control,Investment,17,2,0.188,Post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0151/3-135,F0151/3,2.2,Control,135,8/29/2018,Control,Investment,22,2,0.157,Post,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0151/3-165,F0151/3,2.2,Control,165,9/12/2018,Control,Recovery,36,4,0.189,Post,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0151/3-174,F0151/3,2.2,Control,174,9/14/2018,Control,Recovery,38,4,0.193,Post,1,10/26/2018,34.12,F,0,42,19.55,0.198,NA,NA,8.886363636
0151/3-67,F0151/3,2.2,Control,67,8/10/2018,,,3,0,0.182,Pre,1,9/18/2018,28.5,M,1,39,16.3,0.152,NA,NA,7.409090909
1/3103-102,F1/3103,2.2,Control,102,8/20/2018,Control,Investment,13,0,0.189,Pre,1,9/28/2018,33.3,F,0,39,17.2,0.172,0.085909091,0.078181818,7.818181818
